Unnamed: 0,Comment,Sentiment
181115,show congress work report last years alliance big fodder scammer lalu family rahul gandhi must feeling proud power congress extreme label shameless party modi,2
186092,narendra modi turned picture,1
69750,hmmm maybe thats meant eluded something brand new know media,1
107493,modi led bjp always one goal win elections election coming demo starve parties cash bjp simple rest fake rhetoric creating visionary modi image,2
147197,mam becaus nehru indira present current times ask rahul represnt order modi,1
180961,doubt election commission sticking rosterpoint people could throne years dynasticaly sccumulation disproertinate asset could acure narendra modi â republic bharat interview live updates âdynastic politics,2
10575,dinner one relaxing,2
35974,thanks sissy sure check ur myspace tonight gonna something luv ya,2
57315,issues syncing google calendar added task ticktick hours still sync google calendar ive tried refreshing nothing showed ive looked help forum many people issue time purchased pro worth doesnt sync,0
131446,republic satellite modi hands surgicalstrike arnab,1
141344,congratulations modi proud new india,2
99465,concrete proof modi announced exactly lakhs cor every indian deadline,2
166668,hahahaonly thing missing profile proud followed unmarried modithat complete raymonderrrr sorrybjp manmodi rss setting example things come calling non bjp males misogynistnow whats,2
52385,overwhelming lead strawberry lemonade husband voted banana fosters tho,2
201758,successful airstrikescongratulate airforce claim modi role give credit flying mirage acceptednow news reports claim shot downwhy hurry point fingers modi shot,2
225444,join modi along lakhs people throughout country movement via thanks,2
59326,best productivity app ive found goal progress tracking hierarchical task management progress reports would make even better,2
135359,citizen india salute scientists mission shakti possible due hard work also due dream prime minister modi make india superpower world,0
49301,happy birthday little sister mine also good night priscilla,2
48811,burden abit fail lunch dan,0
89520,farmers contest modi varanasi mysuru today,1
209386,credit goes,1
129302,narendra modi announce mission shakti instead drdo person giving publicity mission shakti getting publicity,1
150258,waiting narendra modi address nation saturday tell thatupcoming day sunday successfully entered holiday errrrr,2
53751,hello everyone im sitting rocking sam air best classic rock station twitter,2
84201,instead privatising sir nationalised ftw instead one airline sarkari babus fleece,1
186878,failed âwood stars like cannot make comeback movieslets join politicsmake anti modi comments talk women empowerment perfect recipe becoming politician days,2
80451,feel better shitty flight,2
183264,modi says nda govt built homes lakh families odisha lit houses provided gas connection lakh homes,1
71515,also lonely night wishing could go auduns doesnt bad dream,1
207292,seen many hoardings mumbai modi india,2
165786,modi opened crore jandhan accounts poor people vote modi,0
31833,watching said,1
199528,youâ love gujarat homeland gandhijinnah sardar patel modi,2
22476,hate dryer,0
13886,i’m sorry laughed every time said “greater moist boy” every time another great speculative world liked alternate history planet last videos taken us truly insane alien worlds loved always feels nice come back home speculate pale blue dot ways could turned differently love channel much,2
117107,non modi government comes power rajan play important role government opposition publicly talking since rajan global superstar,2
223176,giving cadre performs well brings maximum number votes booth allocated also wat say abou tour glorious traditions,1
114502,indian population dumb enough reelect terrorist like modi indiaâ disintegration little pieces would commence sooner anticipated ghazva hind guarantees,0
6627,ive shortwave listener ham radio operator many years number stations practical way sending coded messages agents throughout world agent enters foreign country hard purchase shortwave radio set long piece wire tune frequency preplanned utc time agent key hears writes numbers breaks code key destroys message back number stations going crazy across bands day night something going,1
47128,im lookin email man photo spray painting wroclawpoland kosmo,1
88363,correction promise modi lash bank account,1
241532,modi confident let contest rahul anyways smriti knows lose election done final time politics end,2
130977,âmission shaktiâ shakti sanskrit power modi prime minister india said nations capability russia china satellite shot flying low earth orbit leo said,0
72527,whew vacuuming good time vacuum,2
113967,modi bjp allies media corporate congress allies,1
202757,modi gone biryani pakistan priyanka gandhi vadra via thanks,2
14935,studied computer school learnt basic codingalgorithimdatamangementsoftware applicationprogrammingis ok take computrr ny th,1
59004,hey yesterday prom best wanna go back time ima miss every new picks soon myspacecomrisound,1
80251,right congress seems good option modi set bar low leaving seat empty would look like improvement remember congress started aadhaar congress overseen corporate exploitation natural resources,2
213602,hrs shifts wow studied taxpayers money didnt work shift wouldnt tax money used kanahiya jewel day bet lifes savings modi wont able face one one,2
59183,think cute,2
11515,watched u long time loved tips ny vids,2
43023,new twitter,1
173755,please view video showing hon modi jis public address jammu,1
188622,shut doesnt modi announcing space mission goes,1
101166,lets assume imagination comes true ever thought keep twitter aside modi rahul gandhi offer minimum income guarantee think people ground trust,2
187534,vote modi ganga expressway project worlds longest,1
178896,modi selflessly india guys never believe modi want congress party using vote politics last years guys interested people developmentfreebies makes happy,2
200949,save income tax officers spreading fear cas write modi jaitley financial express,1
50109,paid dedicated server would rather get slice using ms sql,1
16431,fact insomniacs sound webswinging similar original film makes awesome,2
56620,really need go start revisionbiology chemistry today thinks,1
114879,election apf modis demonetization caused state crisis farmers rural workers including falling wages decline bargaining power farmers vote upcoming elections,0
120308,course people like,1
239145,modi black also permitted wear rally,0
157631,continuous diatribes modi govt coupled viewing decision jaundiced eye creating wrong perception abt public even causing harm goodwill former dont stop nuisance put time better use,1
168471,talking armed forces modi boosted morale forces congress lost edge,1
63423,still use apps im using app gives notification go back app opened instagram example would redirect forest app doesnt anymore therefore app useless opinion,0
133514,cas around heart attack modis announcement afternoon,1
217207,election womeniser nehru dynasty son india chowkidar modi god already saved india years ago want see modi taking oath,1
138342,congratulations one reason vote modi,2
96242,like last line modi forgive,1
227424,proud smartstrong prime minister like sri narendra bhai modi doesnt promise delivers love respect,2
92946,tomorrow pritish nandy gets piles fault modi,1
128391,modi thank isro scientists isro chiefs researchers crore indians india becoming space superpower congress thanks nehru india space super power proof nhi mangoge,2
36898,drunk hickups pretty laid back great night still cant help mad situation put,1
134600,various parties objected release narendra modi biopics citing violation model code conduct enforced ahead lok sabha elections,1
121939,modi jiindia waiting words,1
103498,young know history india congress rajivindiranehru know thing guru feku modi guru aasharam rapist blind bhakti guru feku modi pick pocketer native place vad nagar,2
2120,book club series one useful series youtube commonplace book evernote im always amazed gems ive come across years spinning around hot tub talking selfcare vibe love idea organising ideas according actionability felt called hoarding ideas thank breakdown book ali noted must read also need work expressing finds,2
225459,false promises electricity cant cheap increasing govt jobs create inefficiencies corruption modi trying curb yes medical education certainly made affordable modi doung guy looks impotent dont vote sick,0
122788,today enough satellites contributing various segments agriculture disaster management communication weather navigation etc says prime minister ani follow live updates,2
1506,finally maguire used brilliant way game harry,2
11016,appreciated nature video much especially show killing except butterflies,2
180404,modi says something humorous wittywhen others say bigdail bolgreat mediagodi media,2
219268,appeal gujarat people plz remove bjp feku government made vikas leaders janta pukar ukhad feko modi feku sarkar,1
195606,sir request put extra compartment mangalore train bus thts expensive charging double cost want modi please help,0
94014,please also explain happen first place modi created crore jobs every year stop licking bjps boots tavleen singh,2
135344,wecn modi ayyawould like lead yor prime make reform back bone india,1
87510,forgets days modi announced year farmers,0
20858,watched episode loved throwback first episode using sprinkler theory,2
190397,andhra people fed liers like feku modi party even get vote time andhra pradesh spread lies andh bhakts outside andhra,1
221180,many ladies present women power modi,0
27323,spent going college well spent im going meet man tomorrow toysrus parking lot cleaning job,2
195642,court rejects nirav modiâ bail plea nirav modi behind bars weeks next hearing april times nowâ jonathan gilbert danish khan share details,2
188189,modi sir hopeless proved time time mistakes,2
204869,nobel prize winning economist know isnt must antinational,2
235257,uncle generation sees modi mujhe samajh nahi ata,1
17793,ever want release please make shotgun range realistic,1
234479,identity fame mostly due critics criticism created inquisitiveness around time bjp made candidate backdrop said would chowkidar modi,0
193627,people vote joker bcuz dyan didnt like trailer modi,1
93109,however icing cake varanasi lok sabha seat modi aap gives congress congress gives gives bsp bsp candidate joins bjp,1
80649,think modi appointed close aides maintain transparency governance,0
48751,happy mothers day,2
132118,former punjab national bank ceo usha ananthasubramanian approached nclat nclt mumbaibench order made respondent fraud case,1
195392,modi pics slogans air india train tickets mein bhi chowkidarcups sold trains bjp posters flaunting surgical strikes modi biopic april election commission,1
185515,years congress rule years modi rule people bare foot foot kind govts,2
92395,way care tell plan considering modi planning attack pakistan toeing tejas trucks near borders throw missiles via catapult curious thats,1
104845,think added two extra zeroes btw know modi government waived loans worth lakh crores rich businessman,2
8604,loving new hair colour hope move going well everything youve packed made safely thanks video good one,2
77120,would rather bride last minute wedding stuff instead stuck behind desk someday,0
221197,modi gonna spit swallowshah swallowwwwwwwww,1
79174,one comment hardcore modi bhakt shared postcard editor arrested sharing fake news know postcard editor arrested becuz speaking truth proindia liers long lie sustain truth open,0
168187,time god modi,1
157803,modi sarkars likely return power affects nations also select groups would want modi occupy opposition benches sanjeev nayyar,0
205437,maybe true case public large modi win would serve purpose pakistani establishment would find another reason hold power pakistan,2
224589,absolutely least donâ lie divide india â â entire indian population including future generation destroyed wait see repent modi supporters destroying country supporting blindly,0
233355,pics modi became try thinking sometimes,1
23761,cannot sleep im super duper duper excited pour la paris love city,2
41770,oh man sux price u pay org chart responsible stuff,0
84588,modi supporters cant watch video,1
91830,every oldie trying hard make case take spot possible,0
25404,good morning everyone,2
58372,app good concept mind spend start putting time planting real trees downside limit planting trees reached limit started lose motivation use app plant virtual trees,2
168190,modi part run,1
198666,modiâ surgical strike fav thing,1
203879,priyanka vadra congress general secretary charge eastern launched scathing attack prime minister narendra modi ayodhya friday,0
206408,nirav modi mallya share jail cell mumbai extradited,0
202614,failure modi campaign gujarat men tobacco addicts higher states,0
59205,im getting reactions stroking cat welts hands caught claws,1
6342,great uncle served tours vietnam medical huey pilot came back ptsd episodes usually panicking scans room got violent burglar triggered pulled knife great aunt guy currently still recovering hospital months later,0
7983,best admin trolling video ive seen ever coz omrilol role playing legend,2
122390,india prime minister modi says india shot live satellite space rtrs,0
179596,prime minister inspired âparas fancy bindiâ goes viral ahead lok sabha elections seen yet,1
82172,massive job creation modi govt via namo app,1
184073,gets said address nation asserts india intend militarize space many believe capability shifted asia,2
181614,modi itni pareshani modi said india today conclave yeh dar aacha hai,1
180694,narendra modi chief minister one knew background candidature announced opposition brought personal attack saying words like chaiwala chowkidar chor hai therefore wanted give proper reply,1
51802,app really nice like widget displays schedule day itgives nice grasp time bad thing slows smartphone drains lot battery makes phone lag stutter try open uninstalled ans reinstalled apps check theories uninstalled one phone much better even paid pro version,0
204499,even hindu people stands supporting modi gaand fast people get understand religion gemic india safe man,2
140429,dont remember modi,1
39274,work yesss super hungry,0
233059,everyone wants rob cong rahul realises cong survive modi onslaught mamta maya akhilesh wonâ survive next term modi,2
173395,sad see comparing india modi things basic attest documents making life better average indian,2
135169,mixed response modiâ address,1
10645,seemingly small thing love many indoor summer scenes relate lot sun time,2
78458,tbh like app installed first time app always force close😪,1
54330,hi chile deg c winters comingcant wait cali sun,1
157495,shame liars arun jaitley mission shakti process started,1
38193,santa monica bound,1
203290,shocking modi exploits office deve gowda condemns raids,0
40793,havent bed yet got second wind guess edit read something feel tired huh,1
9843,kung mag food vlog po kayo wag na kayo mag review sa mga kinakain niyo kasi pare parehas lang sinasabi nyo alam namin masarap kumain nalang kayo nag binge watch ako sainyo paulit ulit kinakain niyo wala pa kayong masabi kundi masarap tama lang ung timpla etc kung wla na masabi wag pilitin thanks,1
33119,hubby snoring still love,1
233715,logic congress supposed contest keralawhy apply left wanna fight trinamool congress supposed roll die name fighting modithe congress ones meat sheild,1
214381,commies attending bjp training lie like indias biggest liar modi,1
190208,chowkidar nirav modi left india vijay mallaya said met minister escaping nirav took photo along modi cooking pasta,1
18462,mixed feelings overall,1
139239,modis address twitter abuzz speculation emergency dawood masood jokes times india via,1
147489,every panelists sanghi including saraswat gave statement today support modi dunces hiding,1
224500,â narendra modiled government attacked democracy diversity developmentâ download toi app,1
127488,lol modi said papu supporter lol hate modi,2
216526,tej bahadur yadav bsf constable complained corruption food supply system video posted online said would take modi varanasi constituency uttar pradesh,0
237848,thanks input river used flow even summers past river stopped flowing many months point heres image summer showing river flowing small stream summer water october,2
47539,today good little girl hollie bgt complete sympahty vote cute aidan davis l tweet x,2
241085,india destroy bcz modi want clear hurdles purchasing rafale jets,0
162560,cant imagine bjp led modi coward students teachers activists economists fascist become scared fear make coward dont happy word consists cow,2
155618,political content modis public address yesterday announcing asat tests success neither bjp congress mentioned leftists petitioning election commission shameful shows proxy acting behalf china chinas iron brother pakistan dreading india,2
43519,gotta go twitterers stupid sister wants go facebook oging montreal wont bye xoxox,0
229920,bhakt sir veterans saying havent got modi orop poor letters difference made poor giving isnt orop bhakt modi modi modi,0
76044,app good crashing lot instructing upgrade find option upgrade also pro version user uninstall app later reinstall make work,0
121587,indian modi plans national broadcast wednesday reuters via nyt,1
89688,comes two ideologiesmodis promise empowering pay bills live life dignity pappus jumla freebie indian economy spiral mess cant get,2
212001,sleeper cells hyper active media continue abuse modi,0
220539,years modi govt,1
170146,good proposal modi counter even nationalism,2
217549,affirmative obama also spoke intolerance official visit india republic day trump admin also needling india intolerance specially naming modi cia man know rates ghar wapsi lac church offering lac,2
21824,ooh jealous yoghurt carrots,0
95747,situation india modi worsened picture rightly depicts father puts child risks life earn days meal,2
214368,yeah sincerely hope modi restarts scheme official visits least independent journalists spare bullshit pretense neutral morally superior,2
111985,indian government simply cannot allow evictions millions people sweep rug without democratic accountabilityâ via,1
56943,week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,0
223682,saying things didnt government tenure modifrom poor,0
132349,yet single used chair much power corrupts every person modi corrupt india seen forget add tweet,2
62905,got reconnect dear friends tonight lucky many great people life blessed,2
154359,flaw democracy even people vote modi someone else modi form gov vote way cope seriously testing patience jumlas propogandas gud,0
26739,happiness like peeing pantsnobody see feel warm sensation,2
52544,yay watching supernatural great way end hard day miss jesse,1
149942,poor modi loves rich rich rahul loves poor correct âï¸,0
6520,new video billnose subscribe new channel thanks watching,2
67635,happy juddday,2
60252,satisfied review,2
103747,never stop learning life never stops teaching,1
173356,modi best india like much also chockidar mein chokidar rajeev sharma jammu read indian army modi hai toh mumkin hai,2
185190,uno commitee writes minorties saved modi govttalk facts minor issuesyou send dozier laughfull sets places according terrorist activities happendpakistan offered embassoders visits,2
49125,glad went glad didnt leave early glad afterpartying beths im back,2
203091,also wnt india shud get progress also want countries ppl make joke india india cows hav value humans india became joke last yrsnirav modi many benefits wont understnd time election bjp getting huge funds cont,2
34706,jodie um thrown van yesterday taken er,1
176235,writing leader standing usually watch phone new updates true thing get watch priyanka went thereis thatwill thiscalls modi thief againprovide better news,2
60920,love app ive always hard time planners couldnt see point allows plan fun feel like im constantly playing video game main character definitely improved life thanks ton developers,2
128355,must lie since came modi,1
90795,yes let start poor sonia poor vadra looters nation congress today british india plundered indian wealth ensured poverty remain even years rule modi send belong,0
61645,omg woke sleeping arm aching hurts bad,0
210805,dear ktr sir months since cabinet yet word prc extending retirement age govt employees promised manifesto better talk criticising modi,2
59990,game wants itu already know league wants,1
234028,spurning meaningful alliances sounds like courtship want badly happen bad luck sid kicked commies modi would anyway lol slammed,0
170921,modi launches election blitz trumpets space feat,1
57170,sounds foreboding,0
232778,need develop reusable rockets like biggest turning point,1
177874,comparing modi masud osama daud isi congress make way complaine,1
229463,âoppn scared chowkidar people trustâ assam modi targets rivals via namo app,1
87444,making song dance modi biopic,1
113897,rajeev saying govt equally sensitive job crisisha biggest jokethere limit foot licking modi show single example sensitivity govt contrary govt even ready accept job crisis,0
41145,made animated holiday card thingy shh dont tell mom yet surprise,1
169295,mother knows politics well allow contest modi noway,2
143516,reason announced,1
55217,love everything app except fact isnt calendar put dos done specific days added calendar would million star app love everything else,2
109506,narendra modi amit shah sushil kumar modi others bjps list star campaigners bihar â¡,1
55547,crashes sign pixel xl,0
166176,according naxalite killed modishahshe get tip kejriwal,0
32494,help represent high profile actors tvfilmtheatre careers get free tix jersey boys,1
101502,mata urs hate modi dont become anti hindu anti india,0
196809,truth aout soon let wait modi rally plz dont cry theirafter,1
171617,sadly breakthrough launches dont fit propaganda cropped cucial golden period isro lure masters get payment bash modi,2
22063,bank holiday rock seems fitting,1
112454,sir please reply allowed share gifs modi trailer,1
225401,making big promises like modi easy said done,2
206894,different leaders like modi leaders,0
130533,atleast use shri whats thisnarendra modi,1
92221,didnt understand modi needs problems yrs right,2
147670,senior journalist asking questions shamein terms matters scientist address definately matters view create one point antimodi view,2
71407,braxton untill wont sleep minutes time hard mom days like,0
122375,india shot leo live satellite kms away earth follow live updates watch live,2
107241,best highlight great work done heart country needs appreciated hope win year railway development hope win,2
173472,hello modis pillar alliances want modi step modi behaved arrogantly yrs long going hide itmodi missing days house cards fallen alreadywhat number givingbhakts also know lie save modi,0
74210,im still melting im house shade fair,0
151138,jst last year isro failed launch satellite due radio contct failure whole gaddaar mndali blmd modi drdoâ scientists hav successfully accomplished mission shakti instead crediting congres crediting nehru establishing drdo,0
86211,oooo scaredbuwahahahahimran masood able cut chicken piecesmodi naam sunke usko tahaarat krni pdti hai,0
26402,slept till shooting new vid today,1
121382,modi lot fruad people panic,1
109298,wait till absolutely true hero modi never win fair election dishonest means give victory,2
184116,modi feel blessed fortunate committed dedicated like strong asset country countrymen make sure lead country future always make khangreess mukt hindustan,2
210761,people demands lakhs modi check fact modi never promise lakhs gives example much black money stash swiss bank never promises give lakhs individual,0
154129,dont get upset main issue modi hindu part looting government ignore kind tweets seen many guys like,2
115703,stupid statement make patriotic indian able see jumlas oust modi voting,0
140305,gentleman comprehension problems canâ see tweet actually favour modi ââï¸ââï¸ business wasnâ hurt due kaccha kaam due gstâ stupid laws still hurts like stupid days payment law reverts itc,0
215795,education universal human right cant restrict second india long including modi failed create quality jobs resulting brain drain visas gets tougher west blowing back face,0
166765,wednesday set committee deputy election commissioner examine matter related modi address nation â light model code conductâ force lok sabha polls,2
227789,type incidents sink boat modi utmost caution needed,1
25552,lol sweet still yet watch movie hope ur lovely weekend happy mothers day aus p haha,2
166488,narendra modi takes dig rahul gandhis theatre jibe times india,1
74864,spent much today tube journeys always take soo long braces thursdayyy,0
98514,dont need scold children learn india becs also well familiar modi modi hard tought,2
180983,india fight people pakistan fight terrorism modi,1
60476,yahoo great always nice hear successful stories,2
53315,oh phew scared wont access im mexico,0
57642,timetune great app keep dailu routines many useful options overall great,2
87760,according indian constitution governor supposed political affiliation party hold neutral stance,1
219648,never heard name even single gutter chhaap film makers understand real aukaat gutter swineswhn body knows actually yes correct thy earning popularity antimodis modifans best ignore thm,2
176152,way asked honesty communist link modi ambani mean communist lost honest hence couldnt answer divert answer referring modi,2
73557,snappys delivered tea ice cream love sister,2
152150,search indian media know cases anyway bhaktwill brain understand enjoy dramas modi electioncampaign high time modi perform well crying sceneand many fun good night,2
205557,âmatchfixing modi pakistanâ congress leader hariprasad pulwama attack via,1
67117,features used convince install require premium access buy something little real use testing,0
83639,modi player chowkidar lol,2
169454,modi please take steps reducing school donation fees society,1
52611,love already got plan going queen mary,2
204282,nobody would tell iaf proposed purchase mrca took years finalise product want modi changed required numbers nobody iaf uttered word,2
207133,modi everything right far dealing morons like concerned,0
173360,evidence something clearly implicated modi duty present nations police personal feelings noise,0
147721,aisa neta aaj yaareekh bacha hai sirf lets throw negativity throwing lets vote rahul bring love peace happiness back india lets progress real development,2
103127,headlines congâ minimum income guarantee promise jaitley slams rahul gandhiâ poll promise rahul whose chowkidar modi ipl takes csk today,2
80505,need bharat chor ghandy family behtar,1
11077,nothing like hunting old song remembered,1
92232,yeah put ban modi bjp well modi give job per family maharastra gujrat trial basis immediately better congress idea full seats parliament assured,2
184510,maybe thats ignorant modi used air quotes said mission shakti knows fibbing,1
206882,central govt giving pawan kalyan garu janasena chopper landing vijayanagarm right thing modi sir central govt type cheap politics stopping chandrababu jagan reddy unhappy,0
20585,getting ready work working weekend,1
234388,modi also support also chaukidar,1
211936,intelligence bureau gujarat modi govt interacted four hours ahmedabad police detained overnight visit manmohan singh ahmedabad,1
111336,oratagara activated hate propaganda modi election usual,0
21232,someone came sleeping national passtime turned human,2
194406,police inspector cbcid meerut sectori personally present vijaya sankalp rallya near shivaya toll tax meerut daurala road yesterday dated gone listen respected narendra modi due honesty devotee leader nation,2
221270,main bhi chowkidar tea cups railways gets notice poll body ndtv shameless modi crazy cheap publicity stunts wants photosslogan every day get photo printed indian currency â¿,2
94887,may hate whatever glad bankbalance going swell lakh yrs lakh worry keep huge amount comes congress looks good bec modi set bar low,2
175590,day newspaper praise modi think something wrong editorial board modi made blunder,0
149167,wrong analogy coz neither dhoni established cricket india modi chief isro,0
105286,modi good evp knows whose hands future india bestowed,2
15923,thanks everyone sent topic liking video,2
50993,like app enough paid years subscription couple quality life improvements would nice would love see icons widget would also like pick icons avatar photo since theres good ones,2
64077,shes festive aint hehe,2
141254,thats need modi,1
76615,texas chainsaw massacre next generation tis nothing pure insanity title queen watching bad horror films,1
132599,modi pls talk something practical atleast happened black money promised last election magic statements pls voters tired,2
12577,wow encanta la dedicasion el esfuerzo que le pones tus videos,1
37120,grubb sweet friend kevin joining us look girl carrying backpack boulder pad,1
187090,punish bjd congress state govt developing state electing bjp centre anyway last five years still develop odisha,1
134683,see pathetic state journos reduced toanything modi saysabuse himthis beyond hatethis disgraceful,0
164286,violated voilated violated loc didnt incorrect truth couldnt agree shouldnt chased mig downed dont like talking like thats fault modi soft,2
199542,know natural opposition modiand polished method playing neutralyou trust wire election season speaks lotgood jobmust learn level polished politics permission supposed asked nsa protocol,2
168361,bahen modi performance please visit website app data government performance please check posting hasty messages,1
100202,one issued death threats modi playing victim,0
75950,got followed one says doesnt talk god peoplei wonder talks goddess people,1
72252,thanks found already,2
94448,similarly remove names nehru indira rajiv institutions roads clubs circles stadiums etc etc poll panel notice modi biopic makers could issue new guidelines ndtv,2
134701,one hand say credit goes scientist modi blaming violating code conduct organ use taking foodmouth rectumyoud sold muslims antionalist ideology long,0
216333,pakistani worried abt suffered due devided afghanistan past see disaster making due modi politics truly speaking pakistan wont able absorb heat modi investigated plans ishaq dar,1
104244,next retweet narendra modi like rahul gandhi,1
78946,apps quite easy use looks simple doesnt really meet requirements better got calendar tickbox ive purchased still like said sync calendar didnt shows ive planned google calendar thing satisfield notification sounds,2
121645,keep time prime minister waiting waiting waiting years kuch bolo modi,1
103827,type zombies infested modi virus,1
192293,said narendra modi sha amit shah nasha say case like nasha,1
118469,kicks three day tour uttar pradesh amethi today heres link electionrelated news day,1
178543,next time cured constipation dont tell modis fear factor,1
115803,modi made infrastructure another years good universal basic income could possible dont think time come right nowcurrently india needs spend massively better schools hospitals roads railways metros housing cleanliness,2
137560,voting resident social media doorknob modi voting rsmd modi vote local candidate constituency whod rsmd dunno modi,2
6596,roman cuisine taste flavored wine made cooking red wine figs dates raisins added sometimes thyme rosewater residue process sometimes used defruitum thick syrup chicken marinade real delicacy back roman merchant store palmyra making date syrup still product iran syria today,1
198732,modi modi speaking notolerance policy towards corruption modi says previous opposition govts used defence deals atms could imagine deals done transparencyvia namo app,0
144486,would upa would abandoned anti satellite weapon program fearing xis response one example war congratulations modi beloved scientists,2
133182,satellites destroyed better,2
119288,first christian michelle vijay malya nirav modi chowkidars upcoming big catches mother son soninlaw,2
198041,jant suffering increasing fees private schools high cost hospitalization please ensure fees hospital facilities freeenjoy,2
